Tarte aux framboises,Mettre des framboises dans la tarte,,,1
Poule au riz,Une poule avec du riz,,,false
Macarons framboise Mamitou,"Ingrédients : blanc d'oeuf à température ambiante,sucre semoule,poudre d'amande tamisée,sucre glace,colorant alimentaire rouge,blanc d'oeuf à température ambiante,sucre semoule,poudre d'amande tamisée,sucre...",,,true
Cuisses de poulet aux petits légumes,"Ingrédients : cuisse de poulet sans peau,margarine,oignon en lamelles,blanc de poireaux,vin blanc sec,tomates pelées et concassées,ail,persil,sel,poivre.Faire revenir les cuisses de...",  40 min,,false
Endive jambon,"Ingrédients : endive,jambon,crème fraîche liquide épaisse (1 pot),ail 2 à 3 gousses (selon la grosseur),gruyère râpé (1 sachet),beurre .Effeuiller les endives pour les faire cuire dans le l'eau bouillante. ...",  45 min,très facile,5
Tourte aux Myrtilles,"Ingrédients : oeuf,farine,sucre en poudre,beurre,lait,levure,rhum ambré,myrtilles fraîches ou surgelées (ou autres fruits rouges).Préchauffer le four à 150°C (thermostat 5).Laver et égoutter les...",  1h20,facile,false
